1   1 2 4 
charl   1 2 3 4 
sudden   1 2 3 4 5 
tragic   1 2 3 5 
month   1 2 3 4 5 
ago   1 2 3 4 5 
creat   1 2 3 
excit   1 2 3 4 5 
devonshir   1 2 3 
person   1 2 3 4 5 
attend   1 2 3 4 5 
strongmind   1 2 3 
shrewd   1 2 3 4 
unimagin   1 2 3 
prepar   1 2 3 4 5 
end   1 2 3 4 5 
eventu   1 2 3 5 
overtak   1 2 3 4 
flatten   1 2 3 4 5 
knee   1 2 3 4 5 
altern   1 2 3 4 5 
use   1 2 3 4 5 
s   1 2 3 5 
short   1 2 3 4 5 
enabl   1 2 3 4 5 
shoulder   1 2 3 4 5 
yellow   1 2 3 4 5 
fade   1 2 3 4 5 
script   1 2 3 
written   1 2 3 4 5 
larg   1 2 3 4 5 
scrawl   1 2 3 4 5 
figur   1 2 3 4 5 
statement   1 2 3 4 5 
certain   1 2 3 4 5 
legend   1 2 3 5 
understand   1 2 3 4 5 
modern   1 2 3 5 
wish   1 2 3 4 5 
press   1 2 3 4 5 
matter   1 2 3 4 5 
decid   1 2 3 4 5 
twentyfour   1 2 3 4 5 
intim   1 2 3 4 5 
permiss   1 2 3 4 5 
fingertip   1 2 3 5 
togeth   1 2 3 4 5 
resign   1 2 3 5 
crack   1 2 3 4 5 
oldworld   1 2 3 
narr   1 2 3 4 5 
hugo   1 2 3 5 
stori   1 2 3 4 5 
father   1 2 3 4 5 
hi   1 2 3 4 5 
belief   1 2 3 5 
occur   1 2 3 4 5 
forth   1 2 3 4 5 
son   1 2 3 4 5 
justic   1 2 3 4 5 
punish   1 2 3 4 5 
sin   1 2 3 4 5 
graciou   1 2 
forgiv   1 2 3 4 5 
ban   1 2 3 
prayer   1 2 3 4 
repent   1 2 3 5 
remov   1 2 3 4 5 
learn   1 2 3 4 5 
fear   1 2 3 4 5 
fruit   1 2 3 4 5 
past   1 2 3 4 5 
circumspect   1 2 3 
futur   1 2 3 4 5 
foul   1 2 3 4 5 
passion   1 2 3 4 5 
suffer   1 2 3 4 5 
grievou   1 2 4 
loo   1 2 
undo   1 2 3 5 
rebellion   1 2 3 
histori   1 2 3 4 5 
lord   1 2 3 4 5 
clarendon   1 2 3 
earnestli   1 2 3 4 5 
commend   1 2 3 
attent   1 2 3 4 5 
manor   1 2 3 5 
gainsaid   1 2 3 
wild   1 2 3 4 5 
profan   1 2 3 
godless   1 2 3 4 
neighbour   1 2 3 4 5 
pardon   1 2 3 4 5 
saint   1 2 3 4 
flourish   1 2 3 
wanton   1 2 3 
cruel   1 2 3 5 
humour   1 2 3 5 
byword   1 2 3 
west   1 2 3 4 5 
chanc   1 2 3 4 5 
love   1 2 3 4 5 
dark   1 2 3 4 5 
bright   1 2 3 4 5 
daughter   1 2 3 4 5 
yeoman   1 2 3 5 
land   1 2 3 4 5 
near   1 2 3 4 5 
estat   1 2 3 5 
maiden   1 2 3 4 5 
discreet   1 2 3 5 
reput   1 2 3 5 
avoid   1 2 3 4 5 
evil   1 2 3 4 5 
pass   1 2 3 4 5 
michaelma   1 2 3 
idl   1 2 3 4 
wick   1 2 3 5 
stole   1 2 3 5 
farm   1 2 3 4 5 
knew   1 2 3 4 5 
brought   1 2 3 4 5 
upper   1 2 3 5 
chamber   1 2 3 4 5 
sat   1 2 3 4 5 
carou   1 2 
nightli   1 2 3 
custom   1 2 3 4 5 
lass   1 2 3 
upstair   1 2 3 4 5 
wit   1 2 3 5 
sing   1 2 3 5 
shout   1 2 3 4 5 
terribl   1 2 3 4 5 
oath   1 2 3 4 5 
wine   1 2 3 4 5 
blast   1 2 3 
stress   1 2 3 4 
daunt   1 2 3 
bravest   1 2 3 
activ   1 2 3 4 5 
aid   1 2 3 4 5 
growth   1 2 3 
ivi   1 2 3 5 
cover   1 2 3 4 5 
south   1 2 3 4 5 
wall   1 2 3 4 5 
eav   1 2 3 
homeward   1 2 3 5 
leagu   1 2 3 
betwixt   1 2 3 
later   1 2 3 4 5 
guest   1 2 3 5 
food   1 2 3 4 5 
drinkwith   1 2 3 
wor   1 2 
thing   1 2 3 4 5 
perchanceto   1 2 3 
captiv   1 2 3 5 
cage   1 2 3 5 
bird   1 2 3 4 5 
hath   1 2 3 
devil   1 2 3 4 5 
